EDOPro_ID,Card_Name,Type,ATK,DEF,Level,Race,Attribute,Description
160001000,Blue-Eyes White Dragon (Rush),Monster,3000,2500,8,8192,16,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced..."
160001001,Lizard Soldier (Rush),Monster,1100,800,3,8192,8,"A beast soldier derived from dragons, it is small for a Dragon Type. Moving very quickly, this monst..."
160001002,Lesser Dragon (Rush),Monster,1200,1000,4,8192,8,A minor dragon incapable of breathing fire.
160001003,Ancient Turtle Protector,Monster,0,1400,1,524288,2,A respecter of tradition that reminisces about times long past. Those really were the good old days.
160001004,Binding Chain (Rush),Monster,1000,1100,3,4,16,The mystic links of this chain can rob enemies of their power.
160001005,Tang the Noodle Ninja,Monster,800,1000,3,128,4,A ninja who is proud of his chewy noodles and their unique texture. Those bound by his soup-infused ...
160001006,Little D (Rush),Monster,1100,700,3,65536,1,"Yo, this tyrannosaurus tot's got a terrible temper."
160001007,Arma Knight (Rush),Monster,1000,1200,4,64,2,An ammonite warrior that has protected the seas throughout history.
160001008,Petit Moth (Rush),Monster,300,200,1,2048,1,This small but deadly creature is better off avoided.
160001009,Skull Servant (Rush),Monster,300,200,1,16,32,A skeletal ghost that isn't strong but can mean trouble in large numbers.
160001010,Silver Fang (Rush),Monster,1200,800,3,16384,1,"A snow wolf that's beautiful to the eye, but absolutely vicious in battle."
160001011,Feral Imp (Rush),Monster,1300,1400,4,8,32,"A playful little fiend that lurks in the dark, waiting to attack an unwary enemy."
160001012,Faith Bird (Rush),Monster,1500,1100,4,512,8,This long-tailed bird blinds its enemies with mystical light.
160001013,LaMoon (Rush),Monster,1200,1700,5,2,16,A sorcerer that draws its powers from the lunar landscape.
160001014,Machine Attacker (Rush),Monster,1600,1300,5,32,1,"This machine, created to lead charges into enemy territory, mows down enemies by rushing."
160001015,Crawling Dragon (Rush),Monster,1600,1400,5,8192,1,"This weakened dragon can no longer fly, but is still a deadly force to be reckoned with."
160001016,Max Raider,Monster,2400,1400,7,1,1,An axe-wielding warrior. He has pushed himself to the limit in honing his body. The attacks from the...
160001017,Kuribot,Monster,300,200,1,8,32,"[REQUIREMENT]
If you have no other monsters on your field, pay 500 LP.
[EFFECT]
Add 1 ""Kuribot"" f..."
160001018,Whispering Fairy,Monster,800,1200,2,2,8,"[REQUIREMENT]
Send 1 card from your hand to the Graveyard.
[EFFECT]
Shuffle up to 2 monsters from..."
160001019,Fire Golem,Monster,1200,800,3,2,4,"[REQUIREMENT]
Pay 600 LP.
[EFFECT]
1 face-up monster on your opponent's field loses 600 DEF until..."
160001020,"Hilt, the Bearer of Noble Arms",Monster,1300,500,5,2,16,"[REQUIREMENT]
None
[EFFECT]
1 Attack Position Warrior Type monster on your field gains 600 ATK un..."
160001022,"Raidacross, Hero of the Dawn",Monster,2100,1500,7,1,16,"[REQUIREMENT]
Shuffle 2 Spellcaster Type monsters from your Graveyard into the Deck.
[EFFECT]
Spe..."
160001024,Sportsdragon Pitcher,Monster,0,1000,1,8192,32,"[REQUIREMENT]
You have no other monsters on your field.
[EFFECT]
Special Summon 1 ""Sportsdragon S..."
160001025,Sportsdragon Slugger,Monster,1000,0,3,8192,32,"[REQUIREMENT]
You have no other monsters on your field.
[EFFECT]
Special Summon 1 ""Sportsdragon P..."
160001026,Dragonic Slayer,Monster,2300,0,7,8192,1,"[REQUIREMENT]
You have a face-up Level 7 or higher Dragon Type monster other than this card on your..."
160001028,Prima Guitarna the Shining Superstar,Monster,2200,0,7,1048576,16,"[REQUIREMENT]
Pay 1000 LP.
[EFFECT]
All face-up monsters on your field gain ATK equal to [the num..."
160001029,Yamiruler the Dark Delayer,Monster,2500,2500,8,1,32,"[REQUIREMENT]
During the turn you Normal Summoned this card, change its battle position (Attack Pos..."
160001030,Spice the Elite Noodle Ninja,Monster,2200,0,7,128,4,"[REQUIREMENT]
Send the top card of your Deck to the Graveyard.
[EFFECT]
All face-up Pyro Type mon..."
160001031,Defender of Dragon Sorcerers,Monster,500,500,2,2,16,"[REQUIREMENT]
Send 1 Spellcaster or Dragon Type monster from your hand to the Graveyard.
[EFFECT]..."
160001032,Thunder the Thunder,Monster,1300,300,3,4096,16,"[REQUIREMENT]
Send 1 card from your hand to the Graveyard.
[EFFECT]
1 face-up monster on your oppone..."
160001033,Sonic Attacker,Monster,1300,1000,5,32,8,"[REQUIREMENT]
None
[EFFECT]
Your opponent gains 1000 LP. This card gains 1000 ATK until the end o..."
160001034,Mask of Volos,Monster,1500,1000,5,2,1,"[REQUIREMENT]
Send 1 card from your hand to the Graveyard.
[EFFECT]
Change the original ATK of 1 ..."
160001035,Diabolic King Beetle,Monster,1700,200,6,2048,32,"[REQUIREMENT]
Send the top card of your Deck to the Graveyard.
[EFFECT]
1 face-up monster on your..."
160001036,Battle Shark Samegalon,Monster,2300,500,7,131072,2,"[REQUIREMENT]
Send 1 WATER Attribute monster from your hand to the Graveyard.
[EFFECT]
Change 1 Defe..."
160001037,Pierce!,Spell,0,0,0,0,0,"[REQUIREMENT]
None
[EFFECT]
Choose 1 face-up monster on your field. If it attacks a Defense Position..."
160001038,Recovery Force,Spell,0,0,0,0,0,"[REQUIREMENT]
Shuffle 3 Spellcaster Type monsters from your Graveyard into the Deck.
[EFFECT]
Dra..."
160001039,Road Magic - Tempest,Spell,0,0,0,0,0,"[REQUIREMENT]
If you have a face-up Level 7 or higher Spellcaster Type monster on your field, send ..."
160001040,Seal of the Ancients (Rush),Spell,0,0,0,0,0,"[REQUIREMENT]
Pay 1000 LP.
[EFFECT]
Look at all face-down cards on your opponent's field, then re..."
160001041,Hammer Crush,Spell,0,0,0,0,0,"[REQUIREMENT]
Send 1 card from your hand to the Graveyard.
[EFFECT]
Destroy 1 Spell/Trap Card on ..."
160001042,Sparks (Rush),Spell,0,0,0,0,0,"[REQUIREMENT]
None
[EFFECT]
Inflict 200 damage to your opponent."
160001043,Darkness Approaches (Rush),Spell,0,0,0,0,0,"[REQUIREMENT]
Send 2 cards from your hand to the Graveyard.
[EFFECT]
Change 1 face-up monster on ..."
160001044,One-Side Reverse,Spell,0,0,0,0,0,"[REQUIREMENT]
Your opponent has 2 or more face-down monsters on their field.
[EFFECT]
Change 1 fa..."
160001045,Mountain (Rush),Spell,0,0,0,0,0,"[REQUIREMENT]
None
[EFFECT]
While this card is face-up in the Field Zone, face-up Dragon, Winged ..."
160001046,Counter Cannonball,Trap,0,0,0,0,0,"[REQUIREMENT]
When an opponent's monster declares an attack, send 1 card from your hand to the Grave..."
160001047,Call of the Earthbound (Rush),Trap,0,0,0,0,0,"[REQUIREMENT]
When an opponent's monster declares an attack.
[EFFECT]
You choose which of your mo..."
160001048,Gust (Rush),Trap,0,0,0,0,0,"[REQUIREMENT]
When a Spell Card on your field is destroyed by an opponent's card effect.
[EFFECT]..."
160001049,Brutal Retribution,Trap,0,0,0,0,0,"[REQUIREMENT]
When 2 or more face-up Normal Monsters on your field are destroyed at the same time b..."
160001050,1-Up,Trap,0,0,0,0,0,"[REQUIREMENT]
When a monster(s) on your field is destroyed by an opponent's attack or their card ef..."
160002000,Dark Magician (Rush),Monster,2500,2100,7,2,32,The ultimate wizard in terms of attack and defense.
160002001,Sportsdragon Keeper,Monster,400,1900,6,8192,1,"A clutch player for the team. No matter what flies at him, he will risk his life to stop it."
160002002,Wattkiss,Monster,300,1000,2,1048576,16,"Blows kisses that leave you tingling. They get the feeling across.

"
160002003,Watangel,Monster,500,800,2,1048576,16,A guitar that has descended to the lower realm. The tones it plays are angelic.
160002004,Mammoth Graveyard (Rush),Monster,1200,800,3,65536,1,A mammoth that protects the graves of its pack and is absolutely merciless when facing grave-robbers...
160002005,Megazowler (Rush),Monster,1800,2000,6,65536,1,Nothing stands in the way of this spike-covered dinosaur!
160002006,Bubbly Elf,Monster,800,0,2,64,16,"This girl is delicate no more. While poised and collected, she's always down to party. Pager pals wi..."
160002007,LaMoon the Party Princess,Monster,1200,0,3,64,16,"A sorceress that has escaped dull, everyday life. She uses lunar magic to captivate affluent men. Be..."
160002008,Kanan the Sword Diva,Monster,1400,0,4,64,16,"A swordswoman who leads the vanguard in the entertainment district. Even in full makeup, she always ..."
160002009,Beast Gear Gyro Jackal,Monster,1100,800,3,32768,8,"A beast that drives around wildly, always in search of some fun. He is petty, and only picks fights ..."
160002010,Beast Gear Buggy Dog,Monster,1200,1000,4,32768,4,"A canine that extorts scraps of dog food from an old man. He is full of himself and acts tough, but ..."
